
Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches
2014-15,NHL,Buffalo Sabres,57,16,37,,4,36,.316,-1.52,0.06,8th,,T. Nolan (16-37-4)
2013-14,NHL,Buffalo Sabres,82,21,51,,10,52,.317,-1.09,0.02,8th,,T. Nolan (17-36-9) R. Rolston (4-15-1)
2012-13,NHL,Buffalo Sabres,48,21,21,,6,48,.500,-0.31,0.07,5th,,R. Rolston (15-11-5) L. Ruff (6-10-1)
2011-12,NHL,Buffalo Sabres,82,39,32,,11,89,.543,-0.15,0.00,3rd,,L. Ruff (39-32-11)
2010-11,NHL,Buffalo Sabres*,82,43,29,,10,96,.585,0.15,-0.04,2nd,Lost NHL Conference Quarter-Finals,L. Ruff (43-29-10)
2009-10,NHL,Buffalo Sabres*,82,45,27,,10,100,.610,0.26,-0.08,1st,Lost NHL Conference Quarter-Finals,L. Ruff (45-27-10)
2008-09,NHL,Buffalo Sabres,82,41,32,,9,91,.555,0.18,-0.02,3rd,,L. Ruff (41-32-9)
2007-08,NHL,Buffalo Sabres,82,39,31,,12,90,.549,0.05,-0.11,4th,,L. Ruff (39-31-12)
2006-07,NHL,Buffalo Sabres*,82,53,22,,7,113,.689,0.64,-0.16,1st,Lost NHL Conference Finals,L. Ruff (53-22-7)
2005-06,NHL,Buffalo Sabres*,82,52,24,,6,110,.671,0.50,-0.01,2nd,Lost NHL Conference Finals,L. Ruff (52-24-6)
2003-04,NHL,Buffalo Sabres,82,37,34,7,4,85,.518,0.02,0.04,5th,,L. Ruff (37-34-7-4)
2002-03,NHL,Buffalo Sabres,82,27,37,10,8,72,.439,-0.40,-0.05,5th,,L. Ruff (27-37-10-8)
2001-02,NHL,Buffalo Sabres,82,35,35,11,1,82,.500,0.09,-0.07,5th,,L. Ruff (35-35-11-1)
2000-01,NHL,Buffalo Sabres*,82,46,30,5,1,98,.598,0.35,-0.07,2nd,Lost NHL Conference Semi-Finals,L. Ruff (46-30-5-1)
1999-00,NHL,Buffalo Sabres*,82,35,32,11,4,85,.518,0.01,-0.10,3rd,Lost NHL Conference Quarter-Finals,L. Ruff (35-32-11-4)
1998-99,NHL,Buffalo Sabres*,82,37,28,17,,91,.555,0.41,0.02,4th,Lost Stanley Cup Final,L. Ruff (37-28-17)
1997-98,NHL,Buffalo Sabres*,82,36,29,17,,89,.543,0.29,0.00,3rd,Lost NHL Conference Finals,L. Ruff (36-29-17)
1996-97,NHL,Buffalo Sabres*,82,40,30,12,,92,.561,0.31,-0.04,1st,Lost NHL Conference Semi-Finals,T. Nolan (40-30-12)
1995-96,NHL,Buffalo Sabres,82,33,42,7,,73,.445,-0.16,0.03,5th,,T. Nolan (33-42-7)
1994-95,NHL,Buffalo Sabres*,48,22,19,7,,51,.531,0.20,-0.03,4th,Lost NHL Conference Quarter-Finals,J. Muckler (22-19-7)
1993-94,NHL,Buffalo Sabres*,84,43,32,9,,95,.565,0.72,-0.04,4th,Lost NHL Conference Quarter-Finals,J. Muckler (43-32-9)
1992-93,NHL,Buffalo Sabres*,84,38,36,10,,86,.512,0.41,-0.04,4th,Lost NHL Division Finals,J. Muckler (38-36-10)
1991-92,NHL,Buffalo Sabres*,80,31,37,12,,74,.463,-0.16,-0.03,3rd,Lost NHL Division Semi-Finals,R. Dudley (9-15-4) J. Muckler (22-22-8)
1990-91,NHL,Buffalo Sabres*,80,31,30,19,,81,.506,0.08,-0.09,3rd,Lost NHL Division Semi-Finals,R. Dudley (31-30-19)
1989-90,NHL,Buffalo Sabres*,80,45,27,8,,98,.613,0.42,-0.05,2nd,Lost NHL Division Semi-Finals,R. Dudley (45-27-8)
1988-89,NHL,Buffalo Sabres*,80,38,35,7,,83,.519,-0.04,0.06,3rd,Lost NHL Division Semi-Finals,T. Sator (38-35-7)
1987-88,NHL,Buffalo Sabres*,80,37,32,11,,85,.531,-0.22,0.06,3rd,Lost NHL Division Semi-Finals,T. Sator (37-32-11)
1986-87,NHL,Buffalo Sabres,80,28,44,8,,64,.400,-0.28,0.07,5th,,S. Bowman (3-7-2) C. Ramsay (4-15-2) T. Sator (21-22-4)
1985-86,NHL,Buffalo Sabres,80,37,37,6,,80,.500,0.19,0.13,5th,,J. Schoenfeld (19-19-5) S. Bowman (18-18-1)
1984-85,NHL,Buffalo Sabres*,80,38,28,14,,90,.563,0.71,0.04,3rd,Lost NHL Division Semi-Finals,S. Bowman (38-28-14)
1983-84,NHL,Buffalo Sabres*,80,48,25,7,,103,.644,0.82,0.09,2nd,Lost NHL Division Semi-Finals,S. Bowman (48-25-7)
1982-83,NHL,Buffalo Sabres*,80,38,29,13,,89,.556,0.43,0.02,3rd,Lost NHL Division Finals,S. Bowman (38-29-13)
1981-82,NHL,Buffalo Sabres*,80,39,26,15,,93,.581,0.51,0.08,3rd,Lost NHL Division Semi-Finals,J. Roberts (21-16-8) S. Bowman (18-10-7)
1980-81,NHL,Buffalo Sabres*,80,39,20,21,,99,.619,0.92,-0.05,1st,Lost NHL Quarter-Finals,R. Neilson (39-20-21)
